CV Test Sol
2.3185834846738995 2.015059013326812 "[3 2 7 6 3 3 6 1 1 2 6 1 6 6 3 1 3 5 4 7 2 5 3 2 6 1 3 2 3 2 1 1 5 6 1 3 1
 1 6 4 1 3 6 4 1 1 5 3 2 3 4 6 5 2 3 5 1 1 6 3 1 3 4 1 7 5 2 1 6 1 4 3 1 1
 1 6 5 4 6 1 3 1 7 6 4 4 4 6 0 3 2 6 6 6 1 3 3 4 5 7 6 7 5 3 0 0 3 1 3 6 2
 2 2 4 5 7 3 4 3 6 3 3 4 3 7 1 0 7 4 5 4 1 4 2 1 4 5 4 3 5 3 3 1 7 4 2 1 4
 7 4 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 0 1]"
3.4646046954584087 1.970949255159825 "[2 6 1 2 1 1 1 7 3 5 5 7 4 3 4 6 5 1 4 7 7 1 4 1 7 5 4 4 6 7 5 1 7 4 6 2 1
 3 2 4 1 7 7 7 6 2 1 5 1 4 7 6 5 6 1 4 5 1 2 2 1 1 5 7 1 1 6 2 1 5 5 4 1 1
 3 2 6 5 0 2 7 1 2 6 1 4 0 5 6 7 4 3 7 7 3 6 5 6 1 6 3 5 6 3 5 6 0 0 6 6 2
 5 2 1 5 0 2 2 7 3 1 5 1 1 3 7 4 3 6 0 0 3 6 7 2 5 5 7 2 1 1 5 0 3 0 0 6 4
 5 0 0 6 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 0]"
3.385505660353643 1.7256932303653376 "[3 2 1 5 2 6 4 3 5 5 1 7 7 1 4 5 7 4 2 6 6 1 1 2 7 7 6 2 1 5 1 3 1 1 1 1 1
 5 6 1 2 1 3 6 1 5 4 7 1 3 2 2 5 3 7 6 4 7 1 4 1 2 7 3 3 7 1 6 4 1 6 1 1 5
 6 4 0 3 7 4 1 7 7 1 2 0 7 0 4 6 1 3 4 4 0 5 7 0 6 5 5 3 3 6 6 1 7 3 0 2 3
 1 4 0 7 7 0 4 5 5 4 6 2 1 7 4 5 6 4 1 5 3 4 2 1 3 1 2 2 7 0 3 7 6 5 3 6 7
 4 3 1 5 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1
 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0
 1 1 1 1 1 1]"
