pred_date,Target
1940-03-17,3.0
1940-03-24,3.0
1940-03-31,3.0
1940-04-07,2.0
1940-04-14,2.0
1941-03-17,3.0
1941-03-24,3.0
1941-03-31,3.0
1941-04-07,3.0
1941-04-14,3.0
1942-03-17,2.0
1942-03-24,2.0
1942-03-31,2.0
1942-04-07,2.0
1942-04-14,2.0
1943-03-17,4.0
1943-03-24,4.0
1943-03-31,4.0
1943-04-07,4.0
1943-04-14,4.0
1944-03-17,2.0
1944-03-24,2.0
1944-03-31,2.0
1944-04-07,2.0
1944-04-14,2.0
1945-03-17,1.0
1945-03-24,1.0
1945-03-31,1.0
1945-04-07,1.0
1945-04-14,1.0
1946-03-17,2.0
1946-03-24,2.0
1946-03-31,2.0
1946-04-07,2.0
1946-04-14,2.0
1947-03-17,1.0
1947-03-24,0.0
1947-03-31,0.0
1947-04-07,0.0
1947-04-14,1.0
1948-03-17,4.0
1948-03-24,8.0
1948-03-31,8.0
1948-04-07,8.0
1948-04-14,8.0
1949-03-17,2.0
1949-03-24,2.0
1949-03-31,2.0
1949-04-07,2.0
1949-04-14,2.0
1950-03-17,0.0
1950-03-24,0.0
1950-03-31,0.0
1950-04-07,0.0
1950-04-14,0.0
1951-03-17,0.0
1951-03-24,0.0
1951-03-31,2.0
1951-04-07,2.0
1951-04-14,2.0
1952-03-17,1.0
1952-03-24,1.0
1952-03-31,0.0
1952-04-07,0.0
1952-04-14,0.0
1953-03-17,3.0
1953-03-24,3.0
1953-03-31,3.0
1953-04-07,3.0
1953-04-14,3.0
1954-03-17,3.0
1954-03-24,3.0
1954-03-31,3.0
1954-04-07,3.0
1954-04-14,3.0
1955-03-17,1.0
1955-03-24,1.0
1955-03-31,1.0
1955-04-07,1.0
1955-04-14,1.0
1956-03-17,1.0
1956-03-24,1.0
1956-03-31,1.0
1956-04-07,1.0
1956-04-14,1.0
1957-03-17,1.0
1957-03-24,3.0
1957-03-31,5.0
1957-04-07,5.0
1957-04-14,5.0
1958-03-17,4.0
1958-03-24,4.0
1958-03-31,4.0
1958-04-07,4.0
1958-04-14,3.0
1959-03-17,4.0
1959-03-24,4.0
1959-03-31,4.0
1959-04-07,4.0
1959-04-14,4.0
1960-03-17,0.0
1960-03-24,0.0
1960-03-31,1.0
1960-04-07,1.0
1960-04-14,3.0
1961-03-17,0.0
1961-03-24,0.0
1961-03-31,1.0
1961-04-07,1.0
1961-04-14,3.0
1962-03-17,3.0
1962-03-24,3.0
1962-03-31,2.0
1962-04-07,0.0
1962-04-14,0.0
1963-03-17,4.0
1963-03-24,1.0
1963-03-31,1.0
1963-04-07,1.0
1963-04-14,1.0
1964-03-17,1.0
1964-03-24,1.0
1964-03-31,0.0
1964-04-07,0.0
1964-04-14,0.0
1965-03-17,6.0
1965-03-24,3.0
1965-03-31,3.0
1965-04-07,3.0
1965-04-14,3.0
1966-03-17,3.0
1966-03-24,4.0
1966-03-31,4.0
1966-04-07,5.0
1966-04-14,5.0
1967-03-17,1.0
1967-03-24,1.0
1967-03-31,1.0
1967-04-07,1.0
1967-04-14,1.0
1968-03-17,1.0
1968-03-24,1.0
1968-03-31,1.0
1968-04-07,1.0
1968-04-14,1.0
1969-03-17,3.0
1969-03-24,6.0
1969-03-31,8.0
1969-04-07,8.0
1969-04-14,8.0
1970-03-17,5.0
1970-03-24,4.0
1970-03-31,4.0
1970-04-07,4.0
1970-04-14,3.0
1971-03-17,6.0
1971-03-24,2.0
1971-03-31,3.0
1971-04-07,3.0
1971-04-14,3.0
1972-03-17,1.0
1972-03-24,1.0
1972-03-31,1.0
1972-04-07,1.0
1972-04-14,1.0
1973-03-17,2.0
1973-03-24,4.0
1973-03-31,5.0
1973-04-07,5.0
1973-04-14,4.0
1974-03-17,0.0
1974-03-24,0.0
1974-03-31,1.0
1974-04-07,1.0
1974-04-14,1.0
1975-03-17,4.0
1975-03-24,5.0
1975-03-31,5.0
1975-04-07,5.0
1975-04-14,5.0
1976-03-17,0.0
1976-03-24,0.0
1976-03-31,0.0
1976-04-07,0.0
1976-04-14,0.0
1977-03-17,6.0
1977-03-24,6.0
1977-03-31,6.0
1977-04-07,6.0
1977-04-14,6.0
1978-03-17,4.0
1978-03-24,3.0
1978-03-31,3.0
1978-04-07,4.0
1978-04-14,4.0
1979-03-17,1.0
1979-03-24,1.0
1979-03-31,0.0
1979-04-07,0.0
1979-04-14,0.0
1980-03-17,2.0
1980-03-24,2.0
1980-03-31,2.0
1980-04-07,2.0
1980-04-14,5.0
1981-03-17,4.0
1981-03-24,4.0
1981-03-31,6.0
1981-04-07,6.0
1981-04-14,6.0
1982-03-17,3.0
1982-03-24,3.0
1982-03-31,4.0
1982-04-07,4.0
1982-04-14,4.0
1983-03-17,7.0
1983-03-24,6.0
1983-03-31,6.0
1983-04-07,6.0
1983-04-14,6.0
1984-03-17,3.0
1984-03-24,3.0
1984-03-31,3.0
1984-04-07,3.0
1984-04-14,3.0
1985-03-17,3.0
1985-03-24,4.0
1985-03-31,4.0
1985-04-07,4.0
1985-04-14,4.0
1986-03-17,3.0
1986-03-24,3.0
1986-03-31,3.0
1986-04-07,3.0
1986-04-14,3.0
1987-03-17,7.0
1987-03-24,10.0
1987-03-31,10.0
1987-04-07,10.0
1987-04-14,9.0
1988-03-17,4.0
1988-03-24,4.0
1988-03-31,4.0
1988-04-07,4.0
1988-04-14,4.0
1989-03-17,4.0
1989-03-24,4.0
1989-03-31,4.0
1989-04-07,4.0
1989-04-14,1.0
1990-03-17,2.0
1990-03-24,2.0
1990-03-31,3.0
1990-04-07,3.0
1990-04-14,3.0
1991-03-17,0.0
1991-03-24,2.0
1991-03-31,2.0
1991-04-07,2.0
1991-04-14,2.0
1992-03-17,6.0
1992-03-24,6.0
1992-03-31,6.0
1992-04-07,7.0
1992-04-14,7.0
1993-03-17,5.0
1993-03-24,6.0
1993-03-31,6.0
1993-04-07,3.0
1993-04-14,5.0
1994-03-17,5.0
1994-03-24,5.0
1994-03-31,5.0
1994-04-07,3.0
1994-04-14,3.0
1995-03-17,10.0
1995-03-24,10.0
1995-03-31,9.0
1995-04-07,9.0
1995-04-14,9.0
1996-03-17,1.0
1996-03-24,3.0
1996-03-31,3.0
1996-04-07,4.0
1996-04-14,5.0
1997-03-17,0.0
1997-03-24,3.0
1997-03-31,3.0
1997-04-07,4.0
1997-04-14,4.0
1998-03-17,2.0
1998-03-24,2.0
1998-03-31,2.0
1998-04-07,3.0
1998-04-14,2.0
1999-03-17,4.0
1999-03-24,4.0
1999-03-31,2.0
1999-04-07,2.0
1999-04-14,0.0
2000-03-17,1.0
2000-03-24,1.0
2000-03-31,1.0
2000-04-07,1.0
2000-04-14,1.0
2001-03-17,4.0
2001-03-24,6.0
2001-03-31,6.0
2001-04-07,4.0
2001-04-14,4.0
2002-03-17,6.0
2002-03-24,6.0
2002-03-31,6.0
2002-04-07,6.0
2002-04-14,6.0
2003-03-17,0.0
2003-03-24,0.0
2003-03-31,0.0
2003-04-07,0.0
2003-04-14,0.0
2004-03-17,0.0
2004-03-24,0.0
2004-03-31,0.0
2004-04-07,0.0
2004-04-14,0.0
2005-03-17,5.0
2005-03-24,5.0
2005-03-31,5.0
2005-04-07,4.0
2005-04-14,4.0
2006-03-17,2.0
2006-03-24,2.0
2006-03-31,1.0
2006-04-07,1.0
2006-04-14,0.0
2007-03-17,5.0
2007-03-24,7.0
2007-03-31,7.0
2007-04-07,7.0
2007-04-14,8.0
2008-03-17,1.0
2008-03-24,1.0
2008-03-31,1.0
2008-04-07,1.0
2008-04-14,3.0
2009-03-17,0.0
2009-03-24,0.0
2009-03-31,0.0
2009-04-07,0.0
2009-04-14,0.0
2010-03-17,3.0
2010-03-24,4.0
2010-03-31,4.0
2010-04-07,4.0
2010-04-14,4.0
2011-03-17,0.0
2011-03-24,0.0
2011-03-31,0.0
2011-04-07,0.0
2011-04-14,1.0
2012-03-17,5.0
2012-03-24,5.0
2012-03-31,5.0
2012-04-07,5.0
2012-04-14,4.0
2013-03-17,5.0
2013-03-24,5.0
2013-03-31,4.0
2013-04-07,4.0
2013-04-14,4.0
2014-03-17,2.0
2014-03-24,1.0
2014-03-31,1.0
2014-04-07,1.0
2014-04-14,4.0
2015-03-17,7.0
2015-03-24,7.0
2015-03-31,5.0
2015-04-07,5.0
2015-04-14,5.0
2016-03-17,5.0
2016-03-24,6.0
2016-03-31,6.0
2016-04-07,6.0
2016-04-14,6.0
2017-03-17,0.0
2017-03-24,0.0
2017-03-31,3.0
2017-04-07,3.0
2017-04-14,3.0
2018-03-17,1.0
2018-03-24,1.0
2018-03-31,1.0
2018-04-07,1.0
2018-04-14,1.0
2019-03-17,2.0
2019-03-24,2.0
2019-03-31,2.0
2019-04-07,2.0
2019-04-14,2.0
2020-03-17,6.0
2020-03-24,6.0
2020-03-31,6.0
2020-04-07,6.0
2020-04-14,6.0
2021-03-17,2.0
2021-03-24,2.0
2021-03-31,2.0
2021-04-07,2.0
2021-04-14,4.0
2022-03-17,2.0
2022-03-24,2.0
2022-03-31,2.0
2022-04-07,0.0
2022-04-14,0.0
2023-03-17,0.0
2023-03-24,0.0
2023-03-31,0.0
2023-04-07,0.0
2023-04-14,0.0
2024-03-17,4.0
2024-03-24,5.0
2024-03-31,5.0
2024-04-07,5.0
2024-04-14,7.0
